T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
356,India,2015,GDP real rates of growth (percent),8.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
356,India,2019,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
356,India,2020,GDP real rates of growth (percent),-6.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
356,India,2021,GDP real rates of growth (percent),8.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,1995,GDP in current prices (millions of US dollars),"236,456",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2005,GDP in current prices (millions of US dollars),"304,372",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2010,GDP in current prices (millions of US dollars),"755,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2015,GDP in current prices (millions of US dollars),"860,854",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2019,GDP in current prices (millions of US dollars),"1,119,100",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2020,GDP in current prices (millions of US dollars),"1,058,689",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2021,GDP in current prices (millions of US dollars),"1,186,093",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,1995,GDP per capita (US dollars),"1,188",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2005,GDP per capita (US dollars),"1,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2010,GDP per capita (US dollars),"3,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2015,GDP per capita (US dollars),"3,323",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2019,GDP per capita (US dollars),"4,151",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2020,GDP per capita (US dollars),"3,894",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2021,GDP per capita (US dollars),"4,333",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,1995,GDP in constant 2015 prices (millions of US dollars),"380,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2005,GDP in constant 2015 prices (millions of US dollars),"497,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2010,GDP in constant 2015 prices (millions of US dollars),"657,835",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2015,GDP in constant 2015 prices (millions of US dollars),"860,854",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2019,GDP in constant 2015 prices (millions of US dollars),"1,049,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2020,GDP in constant 2015 prices (millions of US dollars),"1,027,662",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2021,GDP in constant 2015 prices (millions of US dollars),"1,065,595",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,1995,GDP real rates of growth (percent),8.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2005,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2010,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2015,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2019,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2020,GDP real rates of growth (percent),-2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
360,Indonesia,2021,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),1995,GDP in current prices (millions of US dollars),"114,364",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2005,GDP in current prices (millions of US dollars),"228,899",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2010,GDP in current prices (millions of US dollars),"523,804",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2015,GDP in current prices (millions of US dollars),"417,210",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2019,GDP in current prices (millions of US dollars),"519,356",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2020,GDP in current prices (millions of US dollars),"543,654",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2021,GDP in current prices (millions of US dollars),"594,892",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),1995,GDP per capita (US dollars),"1,881",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2005,GDP per capita (US dollars),"3,261",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2010,GDP per capita (US dollars),"6,949",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2015,GDP per capita (US dollars),"5,101",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2019,GDP per capita (US dollars),"6,000",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2020,GDP per capita (US dollars),"6,228",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2021,GDP per capita (US dollars),"6,766",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),1995,GDP in constant 2015 prices (millions of US dollars),"205,321",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2005,GDP in constant 2015 prices (millions of US dollars),"319,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2010,GDP in constant 2015 prices (millions of US dollars),"409,922",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2015,GDP in constant 2015 prices (millions of US dollars),"417,210",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2019,GDP in constant 2015 prices (millions of US dollars),"441,995",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2020,GDP in constant 2015 prices (millions of US dollars),"456,714",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2021,GDP in constant 2015 prices (millions of US dollars),"478,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),1995,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2005,GDP real rates of growth (percent),4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2010,GDP real rates of growth (percent),6.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2015,GDP real rates of growth (percent),-1.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2019,GDP real rates of growth (percent),-3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2020,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
364,Iran (Islamic Republic of),2021,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,1995,GDP in current prices (millions of US dollars),"4,863",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2005,GDP in current prices (millions of US dollars),"49,955",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2010,GDP in current prices (millions of US dollars),"138,517",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2015,GDP in current prices (millions of US dollars),"166,774",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2019,GDP in current prices (millions of US dollars),"233,636",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2020,GDP in current prices (millions of US dollars),"180,924",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2021,GDP in current prices (millions of US dollars),"204,004",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,1995,GDP per capita (US dollars),232,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2005,GDP per capita (US dollars),"1,741",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2010,GDP per capita (US dollars),"4,430",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2015,GDP per capita (US dollars),"4,417",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2019,GDP per capita (US dollars),"5,621",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2020,GDP per capita (US dollars),"4,251",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2021,GDP per capita (US dollars),"4,686",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,1995,GDP in constant 2015 prices (millions of US dollars),"32,111",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2005,GDP in constant 2015 prices (millions of US dollars),"94,053",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2010,GDP in constant 2015 prices (millions of US dollars),"120,516",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2015,GDP in constant 2015 prices (millions of US dollars),"166,774",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2019,GDP in constant 2015 prices (millions of US dollars),"203,582",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2020,GDP in constant 2015 prices (millions of US dollars),"177,480",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2021,GDP in constant 2015 prices (millions of US dollars),"182,419",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,1995,GDP real rates of growth (percent),-18.3,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2005,GDP real rates of growth (percent),1.7,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2010,GDP real rates of growth (percent),6.4,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2015,GDP real rates of growth (percent),4.7,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2019,GDP real rates of growth (percent),6.5,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2020,GDP real rates of growth (percent),-12.8,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
368,Iraq,2021,GDP real rates of growth (percent),2.8,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,1995,GDP in current prices (millions of US dollars),"69,142",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2005,GDP in current prices (millions of US dollars),"211,793",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2010,GDP in current prices (millions of US dollars),"221,697",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2015,GDP in current prices (millions of US dollars),"291,658",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2019,GDP in current prices (millions of US dollars),"399,322",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2020,GDP in current prices (millions of US dollars),"425,852",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2021,GDP in current prices (millions of US dollars),"504,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,1995,GDP per capita (US dollars),"19,316",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2005,GDP per capita (US dollars),"51,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2010,GDP per capita (US dollars),"48,998",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2015,GDP per capita (US dollars),"62,510",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2019,GDP per capita (US dollars),"81,560",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2020,GDP per capita (US dollars),"86,098",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2021,GDP per capita (US dollars),"101,109",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,1995,GDP in constant 2015 prices (millions of US dollars),"102,124",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2005,GDP in constant 2015 prices (millions of US dollars),"207,715",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2010,GDP in constant 2015 prices (millions of US dollars),"211,683",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2015,GDP in constant 2015 prices (millions of US dollars),"291,658",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2019,GDP in constant 2015 prices (millions of US dollars),"371,107",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2020,GDP in constant 2015 prices (millions of US dollars),"394,058",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2021,GDP in constant 2015 prices (millions of US dollars),"447,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,1995,GDP real rates of growth (percent),10.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2005,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2010,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2015,GDP real rates of growth (percent),24.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2019,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2020,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
372,Ireland,2021,GDP real rates of growth (percent),13.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,1995,GDP in current prices (millions of US dollars),"100,605",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2005,GDP in current prices (millions of US dollars),"142,657",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2010,GDP in current prices (millions of US dollars),"234,655",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2015,GDP in current prices (millions of US dollars),"300,078",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2019,GDP in current prices (millions of US dollars),"397,935",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2020,GDP in current prices (millions of US dollars),"407,101",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2021,GDP in current prices (millions of US dollars),"481,591",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,1995,GDP per capita (US dollars),"18,363",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2005,GDP per capita (US dollars),"21,247",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2010,GDP per capita (US dollars),"32,020",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2015,GDP per capita (US dollars),"37,473",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2019,GDP per capita (US dollars),"46,229",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2020,GDP per capita (US dollars),"46,486",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2021,GDP per capita (US dollars),"54,111",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,1995,GDP in constant 2015 prices (millions of US dollars),"139,624",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2005,GDP in constant 2015 prices (millions of US dollars),"199,653",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2010,GDP in constant 2015 prices (millions of US dollars),"247,803",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2015,GDP in constant 2015 prices (millions of US dollars),"300,078",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2019,GDP in constant 2015 prices (millions of US dollars),"353,062",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2020,GDP in constant 2015 prices (millions of US dollars),"345,460",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2021,GDP in constant 2015 prices (millions of US dollars),"373,746",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,1995,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2005,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2010,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2015,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2019,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2020,GDP real rates of growth (percent),-2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
376,Israel,2021,GDP real rates of growth (percent),8.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,1995,GDP in current prices (millions of US dollars),"1,174,699",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2005,GDP in current prices (millions of US dollars),"1,857,478",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2010,GDP in current prices (millions of US dollars),"2,134,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2015,GDP in current prices (millions of US dollars),"1,835,899",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2019,GDP in current prices (millions of US dollars),"2,011,302",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2020,GDP in current prices (millions of US dollars),"1,896,755",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
380,Italy,2021,GDP in current prices (millions of US dollars),"2,107,703",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
